,id,name,symbol,date_added,circulating_supply,total_supply,cmc_rank,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.market_cap
90,4056,Ampleforth,AMPL,2019-06-28T00:00:00.000Z,49523917.9594656,130739374.379362,91,2020-07-15T02:03:20.000Z,1.53959530341,3763607.72166809,0.617877,-23.5913,-19.6736,76246791.4968554
91,4847,Blockstack,STX,2019-10-28T00:00:00.000Z,529692981.838067,763616347.838067,92,2020-07-15T02:03:20.000Z,0.143010980534,1753817.37009173,0.425773,-0.504587,8.51507,75751912.71464022
92,1698,Horizen,ZEN,2017-06-01T00:00:00.000Z,9501825.0,9501825.0,93,2020-07-15T02:03:09.000Z,7.43527661702,5593557.4231234,-1.57227,-0.927395,8.61933,70648697.24151607
93,4846,Kava,KAVA,2019-10-25T00:00:00.000Z,33485394.721819,106274713.721819,94,2020-07-15T02:03:20.000Z,2.0808397001,21581204.8967987,5.62419,22.8468,52.5878,69677738.71067996
94,2300,WAX,WAXP,2017-12-21T00:00:00.000Z,1230337093.59602,3679794132.83377,95,2020-07-15T02:03:11.000Z,0.0552756041594,4771717.19259816,-0.432535,2.40555,-2.39066,68007626.16824026
95,463,BitShares,BTS,2014-07-21T00:00:00.000Z,2751030000.0,2751030000.0,96,2020-07-15T02:03:09.000Z,0.0242017480202,5462448.55622901,0.450353,-0.448827,0.73083,66579734.85601081
96,5370,Hive,HIVE,2020-03-26T00:00:00.000Z,301112700.888,384482906.76,97,2020-07-15T02:03:21.000Z,0.218058225429,3901347.33479421,-0.146905,0.0706016,0.838909,65660101.20977055
97,1776,MCO,MCO,2017-07-03T00:00:00.000Z,15793831.0949625,31587682.3632061,98,2020-07-15T02:03:10.000Z,4.15651253084,12810728.9773521,0.671086,-1.0022,-1.23378,65647256.85618207
98,2087,KuCoin Shares,KCS,2017-10-24T00:00:00.000Z,81250284.0,171250284.0,99,2020-07-15T02:03:10.000Z,0.779238896416,5410852.48259778,0.101761,-1.05883,0.251097,63313381.63764658
99,1903,HyperCash,HC,2017-08-20T00:00:00.000Z,44691784.177052,44691784.177052,100,2020-07-15T02:03:10.000Z,1.40039193558,39365592.2057602,0.247879,11.1755,15.7021,62586014.14822547
